"date","real","first_dose","new_dose1","avg_daily_first_dose","pct"
2021-04-11,"Projected",106675.714285714,NA,1174.14285714286,0.508020717323375
2021-04-12,"Projected",107849.857142857,NA,1174.14285714286,0.513612326440031
2021-04-13,"Projected",109024,NA,1174.14285714286,0.519203935556687
2021-04-14,"Projected",110198.142857143,NA,1174.14285714286,0.524795544673344
2021-04-15,"Projected",111372.285714286,NA,1174.14285714286,0.53038715379
2021-04-16,"Projected",112546.428571428,NA,1174.14285714286,0.535978762906656
2021-04-17,"Projected",113720.571428571,NA,1174.14285714286,0.541570372023313
2021-04-18,"Projected",114894.714285714,NA,1174.14285714286,0.547161981139969
2021-04-19,"Projected",116068.857142857,NA,1174.14285714286,0.552753590256626
2021-04-20,"Projected",117243,NA,1174.14285714286,0.558345199373282
2021-04-21,"Projected",118417.142857143,NA,1174.14285714286,0.563936808489938
2021-04-22,"Projected",119591.285714286,NA,1174.14285714286,0.569528417606595
2021-04-23,"Projected",120765.428571428,NA,1174.14285714286,0.575120026723251
2021-04-24,"Projected",121939.571428571,NA,1174.14285714286,0.580711635839907
2021-04-25,"Projected",123113.714285714,NA,1174.14285714286,0.586303244956564
2021-04-26,"Projected",124287.857142857,NA,1174.14285714286,0.59189485407322
2021-04-27,"Projected",125462,NA,1174.14285714286,0.597486463189877
2021-04-28,"Projected",126636.142857143,NA,1174.14285714286,0.603078072306533
2021-04-29,"Projected",127810.285714286,NA,1174.14285714286,0.608669681423189
2021-04-30,"Projected",128984.428571428,NA,1174.14285714286,0.614261290539846
2021-05-01,"Projected",130158.571428571,NA,1174.14285714286,0.619852899656502
2021-05-02,"Projected",131332.714285714,NA,1174.14285714286,0.625444508773158
2021-05-03,"Projected",132506.857142857,NA,1174.14285714286,0.631036117889815
2021-05-04,"Projected",133681,NA,1174.14285714286,0.636627727006471
2021-05-05,"Projected",134855.142857143,NA,1174.14285714286,0.642219336123128
2021-05-06,"Projected",136029.285714286,NA,1174.14285714286,0.647810945239784
2021-05-07,"Projected",137203.428571428,NA,1174.14285714286,0.653402554356441
2021-05-08,"Projected",138377.571428571,NA,1174.14285714286,0.658994163473097
2021-05-09,"Projected",139551.714285714,NA,1174.14285714286,0.664585772589754
2021-05-10,"Projected",140725.857142857,NA,1174.14285714286,0.67017738170641
2021-05-11,"Projected",141900,NA,1174.14285714286,0.675768990823067
2021-05-12,"Projected",143074.142857143,NA,1174.14285714286,0.681360599939723
2021-05-13,"Projected",144248.285714286,NA,1174.14285714286,0.686952209056379
2021-05-14,"Projected",145422.428571429,NA,1174.14285714286,0.692543818173036
2021-05-15,"Projected",146596.571428571,NA,1174.14285714286,0.698135427289692
2021-05-16,"Projected",147770.714285714,NA,1174.14285714286,0.703727036406349
2021-05-17,"Projected",148944.857142857,NA,1174.14285714286,0.709318645523005
2021-05-18,"Projected",150119,NA,1174.14285714286,0.714910254639662
2021-05-19,"Projected",151293.142857143,NA,1174.14285714286,0.720501863756318
2021-05-20,"Projected",152467.285714286,NA,1174.14285714286,0.726093472872974
2021-05-21,"Projected",153641.428571429,NA,1174.14285714286,0.731685081989631
2021-05-22,"Projected",154815.571428572,NA,1174.14285714286,0.737276691106287
2021-05-23,"Projected",155989.714285714,NA,1174.14285714286,0.742868300222944
2021-05-24,"Projected",157163.857142857,NA,1174.14285714286,0.7484599093396
2021-05-25,"Projected",158338,NA,1174.14285714286,0.754051518456257
2021-05-26,"Projected",159512.142857143,NA,1174.14285714286,0.759643127572913
2021-05-27,"Projected",160686.285714286,NA,1174.14285714286,0.76523473668957
2021-05-28,"Projected",161860.428571429,NA,1174.14285714286,0.770826345806226
2021-05-29,"Projected",163034.571428572,NA,1174.14285714286,0.776417954922882
2021-05-30,"Projected",164208.714285714,NA,1174.14285714286,0.782009564039539
2021-05-31,"Projected",165382.857142857,NA,1174.14285714286,0.787601173156195
2021-06-01,"Projected",166557,NA,1174.14285714286,0.793192782272852
2021-06-02,"Projected",167731.142857143,NA,1174.14285714286,0.798784391389508
2021-06-03,"Projected",168905.285714286,NA,1174.14285714286,0.804376000506165
2021-06-04,"Projected",170079.428571429,NA,1174.14285714286,0.809967609622821
2021-06-05,"Projected",171253.571428572,NA,1174.14285714286,0.815559218739478
2021-06-06,"Projected",172427.714285715,NA,1174.14285714286,0.821150827856134
2021-06-07,"Projected",173601.857142857,NA,1174.14285714286,0.82674243697279
2021-06-08,"Projected",174776,NA,1174.14285714286,0.832334046089447
2021-06-09,"Projected",175950.142857143,NA,1174.14285714286,0.837925655206103
2021-06-10,"Projected",177124.285714286,NA,1174.14285714286,0.84351726432276
